Locality,Minimum_elevation_in_meters,Maximum_elevation_in_meters,Decimal_latitude,Decimal_longitude,Coordinate_uncertainty_in_meters,Coords_uncertainty_description,Coords_source,Locus,latitude,longitude,precision,precby
GOLDEN GATE HIGHLANDS NP,,,-28.62,28.62,,centroid of 15x15 minute grid (QDS),,2828DA,,,,johaadienr
GOLDEN GATE HIGLANDS NP,,,-28.37,28.62,,centroid of 15x15 minute grid (QDS),,2828BC,,,,johaadienr
Golden Gate National Park,,,-28.51,28.65,,0-250 m,,2828DA,,,,johaadienr
Greywille nr Alex Pan,,,-28.13,29.28,,"degree, minute and integer second",,2829AB,,,,johaadienr
Harrismith,,,,,,,,,,,,johaadienr
"Heilbron, 10 KM N",,,-27.28,27.96,,degree and integer minute,,2727BD,,,,johaadienr
Just below Sentinel Rd,,,-28.72,28.89,,"degree, minute and integer second",,2828DB,,,,johaadienr
Kgotswane Gorge,,,-28.6,28.78,,degree and integer minute,,2828DB,,,,johaadienr
"Koningsdal farm, 20 km SSE of Memel, E. Free State",,,-27.86,29.51,,0-250 m,,2729DC,,,,johaadienr
KRISTALPAN ON FARM WONDERHOEK (1698),,,-28.48,28.5,,degree and integer minute,,2828BC,,,,johaadienr
Kroonstad,,,-27.66,27.23,,degree and integer minute,,2727CA,,,,johaadienr
"Kroonstadt, farm Geluk",,,-27.62,27.37,,centroid of 15x15 minute grid (QDS),,2727CB,,,,johaadienr
Lindley,,,-27.87,27.87,,centroid of 15x15 minute grid (QDS),,2727DD,,,,johaadienr
Lindley dist.,,,-27.88,27.91,,degree and integer minute,,2727DD,,,,johaadienr
Manyenyeza,,,-28.41,29.25,,"degree, minute and integer second",,2829AD,,,,johaadienr
Middle stage of Chain Ladders,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"MONONTSA PASS, WITZIESHOEK",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
Mont Pierre,,,-28.53,28.65,,"degree, minute and integer second",,2828DA,,,,johaadienr
Mont-aux-Sources Chain Ladders,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
Mount aux Sources,,,-28.76,28.85,,degree and integer minute,,2828DD,,,,johaadienr
"Mount aux Sources, Drakensberg Mnt.",,,-28.87,28.87,,centroid of 15x15 minute grid (QDS),,2828DD,,,,johaadienr
"MOUNT PIER, GOLDEN GATE HIGHLANDS NP",,,-28.53,28.65,,degree and integer minute,,2828DA,,,,johaadienr
"Mountain View, Harrismith",,,-28.34,29.13,,"degree, minute and integer second",,2829AC,,,,johaadienr
Namahali Pass near top of main escarpment,,,-28.75,28.86,,"degree, minute and integer second",,2828DD,,,,johaadienr
"NEAR MT PIERRE,GOLDEN GATE HIGHLANDS NP",,,-28.37,28.62,,centroid of 15x15 minute grid (QDS),,2828DA,,,,johaadienr
"Near Tiger Falls, Royal Natal National Park",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
"near Wilge Park, Harrismith",,,-28.28,29.12,,"degree, minute and integer second",,2829AC,,,,johaadienr
Nelson's Kop,,,-28.23,29.44,,"degree, minute and integer second",,2829AB,,,,johaadienr
Odendaalsrus region,,,-27.87,26.62,,centroid of 15x15 minute grid (QDS),,2726DC,,,,johaadienr
Odendaalsrust,,,-27.86,26.68,,degree and integer minute,,2726DC,,,,johaadienr
Oliviershoek Pass,,,-28.56,29.05,,0-250 m,,2829CA,,,,johaadienr
On  the farm Zwartkoppies,,,-27.37,28.37,,centroid of 15x15 minute grid (QDS),,2728AD,,,,johaadienr
On road; R712; Golden Gate National Park,,,-28.52,28.65,,0-250 m,,2828DA,,,,johaadienr
"Platberg, Harrismith district",,,-28.24,29.16,,degree and integer minute,,2829CA,,,,johaadienr
R712 300m S of Qwantani Rd,,,-28.39,28.95,,"degree, minute and integer second",,2828BD,,,,johaadienr
"Rabies Gully Pass, Qwaqwa",,,-28.65,28.71,,"degree, minute and integer second",,2828DA,,,,johaadienr
Rd below Mont Pierre,,,-28.53,28.65,,"degree, minute and integer second",,2828DA,,,,johaadienr
"Sentinel Rd, on hill just above Witsieshoek Mountain Resort",,,-28.68,28.89,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Sentinel Trail, at base of Chain Ladders",,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Sentinel Trail, Middle Stage of Chain Ladders",,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Sentinel Trail, Top of Chain Ladders",,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"SENTINEL, WITZIESHOEK",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
Sentinel; Drakensberg,,,-28.73,28.89,,unknown,,2828DB,,,,johaadienr
STERKFONTEIN DAM N.R.,,,-28.62,29.12,,centroid of 15x15 minute grid (QDS),,2829CA,,,,johaadienr
Top of the Chain ladders,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"TransZenit Truckstop, Warden",,,-27.86,28.96,,"degree, minute and integer second",,2728DD,,,,johaadienr
VAN REENEN'S PASS?,,,-28.37,29.37,,centroid of 15x15 minute grid (QDS),,2829AD,,,,johaadienr
Welkom,,,-27.87,26.62,,centroid of 15x15 minute grid (QDS),,2726DC,,,,johaadienr
Willem Pretorius Nat Res,,,-28.33,27.25,,degree and integer minute,,2827AD,,,,johaadienr
,,,-27.37,29.37,,centroid of 15x15 minute grid (QDS),,2729AD,,,,johaadienr
