gid,entity_nam,reference1,gmrotation,lat,long,province
20698971,Spreeufontein,3023DB_6,0,-30.5735,23.78646,Northern Cape
20698972,Kwaggafontein,3023DB_6,0,-30.59619,23.78317,Northern Cape
20698973,Holput,3023DB_13,0,-30.61453,23.85192,Northern Cape
20698974,Brandfontein,3023DB_13,0,-30.62763,23.88141,Northern Cape
20698975,Kleinbrandfontein,3023DB_13,0,-30.62738,23.88794,Northern Cape
20698976,De Poort,3023DB_15,0,-30.60332,23.97178,Northern Cape
20698977,Vaalkop,3023DB_19,0,-30.68874,23.90097,Northern Cape
20698978,De Put,3023DC_4,0,-30.77779,23.68102,Northern Cape
20698979,Vloekpoort,3023DC_5,0,-30.79413,23.74347,Northern Cape
20698980,Lemoenkloof,3023DC_9,0,-30.84524,23.65723,Northern Cape
20698981,Rhenosterpoort,3023DB_18,0,-30.66821,23.88536,Northern Cape
20698982,Vaalbank,3023DB_24,0,-30.71429,23.90549,Northern Cape
20698983,Zwartkoppies,3023DB_24,0,-30.72913,23.92158,Northern Cape
20698984,Wasbank,3024CB_3,0,-30.50905,24.36076,Northern Cape
20698985,Klipfontein,3024CB_8,0,-30.57621,24.35189,Northern Cape
20698986,Vendusiekuil,3024CB_7,0,-30.58683,24.3415,Northern Cape
20698987,Kranskop,3024CB_7,0,-30.57886,24.32066,Northern Cape
20698988,Witput,3024CB_7,0,-30.5705,24.30275,Northern Cape
20698989,Meyersfontein,3024CB_6,0,-30.58073,24.27811,Northern Cape
20698990,Rooiwal,3024CB_13,0,-30.63589,24.36229,Northern Cape
20698991,Disselskuil,3024CB_13,0,-30.60499,24.36106,Northern Cape
20698192,Blyderus,3017BB_18,0,-30.15313,17.88621,Northern Cape
20698193,Matjiesfontein,3017BB_13,0,-30.10829,17.87116,Northern Cape
20698194,Haasrvier,3017BB_13,0,-30.13823,17.87622,Northern Cape
20698195,Wigerhoutskoof,3017BB_19,0,-30.15277,17.94347,Northern Cape
20698196,Muisvlak,3017BB_22,0,-30.21762,17.83536,Northern Cape
20698197,Toeneus,3017BB_22,0,-30.23045,17.82854,Northern Cape
20698198,Olienpoort,3017BB_23,0,-30.22794,17.85321,Northern Cape
20698199,Ellenboogfontein,3017BB_23,0,-30.22028,17.87595,Northern Cape
20698200,Dassiefontein,3017BB_20,0,-30.15333,17.99562,Northern Cape
20698201,Modderfontein,3017BB_20,0,-30.16351,17.98465,Northern Cape
20698202,Bovlei,3017BB_20,0,-30.17127,17.98221,Northern Cape
20698203,Agtertuin,3017BB_18,0,-30.19076,17.88465,Northern Cape
20698204,Tweervier,3017BB_12,0,-30.10855,17.82098,Northern Cape
20698205,Steunerskop,3017BB_12,0,-30.13525,17.83345,Northern Cape
20698206,Wolwepoort,3017BB_12,0,-30.14254,17.82399,Northern Cape
20698207,Windhoek,3017BB_19,0,-30.17663,17.93363,Northern Cape
20698208,Dwarsrivier,3017BB_17,0,-30.16931,17.81667,Northern Cape
20698209,Blouklippe,3017BB_17,0,-30.19845,17.80642,Northern Cape
20698210,Brandkop,3017BB_17,0,-30.18049,17.83952,Northern Cape
20698211,Skilpad,3017BB_16,0,-30.16603,17.79745,Northern Cape
20698212,Grootvlei,3017BB_21,0,-30.20828,17.79157,Northern Cape
20698213,Brakkies,3017BB_23,0,-30.23996,17.88728,Northern Cape
20698214,Niekerksfontein,3017BB_23,0,-30.21055,17.89585,Northern Cape
20698215,Matjiesgoed,3017BB_25,0,-30.20633,17.96441,Northern Cape
20698216,Suurhoek,3017BB_25,0,-30.24756,17.97582,Northern Cape
20698592,Klipfontein,2917DD_11,0,-29.85299,17.75253,Northern Cape
20698593,Narap,2917DD_11,0,-29.88263,17.7604,Northern Cape
20698594,Koringhuis,2917DD_11,0,-29.89806,17.77554,Northern Cape
20698595,Lawrence se Puts,2918BA_1,0,-29.00136,18.50223,Northern Cape
20698596,Dabenoris,2918BA_3,0,-29.01356,18.62998,Northern Cape
20698597,Karadous,2918BA_9,0,-29.0914,18.65528,Northern Cape
20698598,Hoogrus,2918BA_7,0,-29.07981,18.59204,Northern Cape
20698599,Aasvoelkrans,2917DD_8,0,-29.80783,17.85675,Northern Cape
20698600,Ouhoek,2917DD_8,0,-29.81952,17.88174,Northern Cape
20698601,Eensaam,2918BA_10,0,-29.0578,18.73199,Northern Cape
20698602,Koeries,2918BA_20,0,-29.16314,18.72943,Northern Cape
20698603,Koeries,2918BA_18,0,-29.17149,18.64946,Northern Cape
20698604,Haramoep,2918BA_15,0,-29.10442,18.73793,Northern Cape
20698605,Kamasoas,2918BA_23,0,-29.22658,18.60965,Northern Cape
20698606,De Hoog,3017DB_12,0,-30.6187,17.8326,Northern Cape
20698607,Sandkop,3017DB_13,0,-30.62535,17.85081,Northern Cape
20698608,Rooisandkop,3017DB_12,0,-30.64334,17.83954,Northern Cape
20698609,Kouwater,3017DB_13,0,-30.63023,17.86226,Northern Cape
20698610,Vleikraal,3017DB_13,0,-30.62418,17.89683,Northern Cape
20698611,Langklip,3017DB_14,0,-30.61813,17.93658,Northern Cape
20698612,Seniorsvlei,3017DB_19,0,-30.68397,17.90401,Northern Cape
20698613,Dikdoring,3017DB_25,0,-30.71907,17.96767,Northern Cape
20698614,Dikdoring,3017DB_25,0,-30.72933,17.95133,Northern Cape
20698615,Witleegte,3017DB_24,0,-30.74263,17.93415,Northern Cape
20698616,Witleegte,3017DB_24,0,-30.7455,17.92439,Northern Cape
20698992,Plessisvlakte,3024CB_15,0,-30.62035,24.47827,Northern Cape
20698993,Rooidam,3024CB_19,0,-30.68073,24.43612,Northern Cape
20698994,Ruitjiespoort,3023DC_8,0,-30.8163,23.6199,Northern Cape
20698995,Zwagershoek,3024CB_4,0,-30.51026,24.43343,Northern Cape
20698996,Wolweberg,3024CB_10,0,-30.55431,24.46091,Northern Cape
20698997,Enkeldebult,3024CB_9,0,-30.5572,24.40538,Northern Cape
20698998,Tweefontein,3024CB_8,0,-30.55727,24.38218,Northern Cape
20698999,Plessisvlakte,3024CB_15,0,-30.64347,24.46888,Northern Cape
20699000,Knapdaar,3024CB_19,0,-30.69335,24.43365,Northern Cape
20699001,Die Dam,3024CB_18,0,-30.67841,24.38716,Northern Cape
20699002,Leeufontein,3024CB_23,0,-30.71492,24.3661,Northern Cape
20699003,Veekraal,3024CB_16,0,-30.68583,24.27668,Northern Cape
20699004,Bloemhof,3024CB_16,0,-30.69919,24.2509,Northern Cape
20699005,Sipreshof,3024CB_23,0,-30.74013,24.36066,Northern Cape
20699006,Helderwater,3024CB_23,0,-30.73977,24.39383,Northern Cape
20699007,Hotom,3024CB_24,0,-30.72985,24.42143,Northern Cape
20699008,Gansfontein,3024CB_25,0,-30.71126,24.46991,Northern Cape
20699009,Hotom,3024CB_25,0,-30.71927,24.48885,Northern Cape
20699010,West Front,3023DC_13,0,-30.88383,23.60426,Northern Cape
